no_of_children,lead_time,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal_Plan_2,room_type_reserved_Room_Type_1,room_type_reserved_Room_Type_4
-0.2612676025282956,-0.7264798156546767,0.5046015246542264,-1.039214537329436,0,0,1
-0.2612676025282956,0.6791742559358037,-0.26866201104605464,-1.039214537329436,0,0,1
-0.2612676025282956,-0.7118375857422758,0.23879218425725476,0.19896252721876234,0,0,1
-0.2612676025282956,1.2062945327822339,0.8808770844369526,0.19896252721876234,0,1,0
-0.2612676025282956,-0.7264798156546767,2.411869843736392,-1.039214537329436,0,1,0
-0.2612676025282956,0.8109543251474113,-0.36186788365278455,0.19896252721876234,0,1,0
-0.2612676025282956,-0.4336352174066599,0.8808770844369526,1.4371395917669605,0,1,0
-0.2612676025282956,-0.78504873530428,0.33199805686398515,-1.039214537329436,0,1,0
-0.2612676025282956,-1.0339666438150943,-1.0281172693231162,-1.039214537329436,0,1,0
-0.2612676025282956,1.821268189103069,-0.9625279515628243,-1.039214537329436,0,1,0
-0.2612676025282956,-0.6093419763554699,-0.7968286224841928,0.19896252721876234,0,1,0
-0.2612676025282956,-0.7996909652166808,0.9385266426788926,0.19896252721876234,1,0,1
-0.2612676025282956,1.7334148096286641,-0.3774021957539063,0.19896252721876234,0,0,1
-0.2612676025282956,-1.048608873727495,-0.18581234650673864,0.19896252721876234,0,1,0
-0.2612676025282956,1.1770100729574322,0.04823795581682854,-1.039214537329436,0,1,0
-0.2612676025282956,-0.28721291828265155,0.3786009931673501,0.19896252721876234,0,0,1
-0.2612676025282956,-1.048608873727495,0.6081636053283711,0.19896252721876234,0,1,0
-0.2612676025282956,0.5327519568117953,-1.1951974261440694,-1.039214537329436,0,0,0
3.827493306950289,-0.5800575165306683,1.4401123200773338,1.4371395917669605,0,1,0
-0.2612676025282956,0.21062289873897694,-0.48614238046175856,-1.039214537329436,0,1,0
-0.2612676025282956,1.455212441293048,-0.5310192820872212,-1.039214537329436,0,1,0
-0.2612676025282956,-0.9021865746034867,-1.0143089918998967,0.19896252721876234,0,1,0
-0.2612676025282956,-0.8582598848662842,1.8509085734181083,0.19896252721876234,0,0,1
